class,total,train,val,test
Apple___Apple_scab,630,441,126,63
Apple___Black_rot,621,434,124,63
Apple___Cedar_apple_rust,275,192,55,28
Apple___healthy,1645,1151,329,165
Blueberry___healthy,1502,1051,300,151
Cherry_(including_sour)___healthy,854,597,170,87
Cherry_(including_sour)___Powdery_mildew,1052,736,210,106
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,513,359,102,52
Corn_(maize)___Common_rust_,1192,834,238,120
Corn_(maize)___healthy,1162,813,232,117
Corn_(maize)___Northern_Leaf_Blight,985,689,197,99
Grape___Black_rot,1180,826,236,118
Grape___Esca_(Black_Measles),1383,968,276,139
Grape___healthy,423,296,84,43
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1076,753,215,108
Orange___Haunglongbing_(Citrus_greening),5507,3854,1101,552
Peach___Bacterial_spot,2297,1607,459,231
Peach___healthy,360,251,72,37
"Pepper,_bell___Bacterial_spot",997,697,199,101
"Pepper,_bell___healthy",1478,1034,295,149
Potato___Early_blight,1000,700,200,100
Potato___healthy,152,106,30,16
Potato___Late_blight,1000,700,200,100
Raspberry___healthy,371,259,74,38
Soybean___healthy,5090,3563,1018,509
Squash___Powdery_mildew,1835,1284,367,184
Strawberry___healthy,456,319,91,46
Strawberry___Leaf_scorch,1109,776,221,112
Tomato___Bacterial_spot,2127,1488,425,214
Tomato___Early_blight,1000,700,200,100
Tomato___healthy,1591,1113,318,160
Tomato___Late_blight,1909,1336,381,192
Tomato___Leaf_Mold,952,666,190,96
Tomato___Septoria_leaf_spot,1771,1239,354,178
Tomato___Spider_mites Two-spotted_spider_mite,1676,1173,335,168
Tomato___Target_Spot,1404,982,280,142
Tomato___Tomato_mosaic_virus,373,261,74,38
Tomato___Tomato_Yellow_Leaf_Curl_Virus,5357,3749,1071,537
