crop,n_kgco2e,p_kgco2e,k_kgco2e,land_kgco2e,sequestration,total_kgco2e_per_ha,equivalent_car_km
rice,470.0,50.0,30.0,1200.0,-0.0,1750.0,8333.0
cotton,470.0,50.0,30.0,1100.0,-0.0,1650.0,7857.0
sugarcane,470.0,50.0,30.0,900.0,-0.0,1450.0,6905.0
jute,470.0,50.0,30.0,800.0,-0.0,1350.0,6429.0
wheat,470.0,50.0,30.0,800.0,-0.0,1350.0,6429.0
sunflower,470.0,50.0,30.0,750.0,-0.0,1300.0,6190.0
maize,470.0,50.0,30.0,700.0,-0.0,1250.0,5952.0
mustard,470.0,50.0,30.0,700.0,-0.0,1250.0,5952.0
grapes,470.0,50.0,30.0,700.0,-0.0,1250.0,5952.0
sorghum,470.0,50.0,30.0,700.0,-0.0,1250.0,5952.0
barley,470.0,50.0,30.0,650.0,-0.0,1200.0,5714.0
pearlmillet,470.0,50.0,30.0,650.0,-0.0,1200.0,5714.0
safflower,470.0,50.0,30.0,650.0,-0.0,1200.0,5714.0
linseed,470.0,50.0,30.0,600.0,-0.0,1150.0,5476.0
sesamum,470.0,50.0,30.0,600.0,-0.0,1150.0,5476.0
fingermillet,470.0,50.0,30.0,550.0,-0.0,1100.0,5238.0
mango,470.0,50.0,30.0,550.0,-0.0,1100.0,5238.0
groundnut,470.0,50.0,30.0,600.0,-50.0,1100.0,5238.0
papaya,470.0,50.0,30.0,500.0,-0.0,1050.0,5000.0
pomegranate,470.0,50.0,30.0,500.0,-0.0,1050.0,5000.0
banana,470.0,50.0,30.0,500.0,-0.0,1050.0,5000.0
orange,470.0,50.0,30.0,480.0,-0.0,1030.0,4905.0
watermelon,470.0,50.0,30.0,450.0,-0.0,1000.0,4762.0
coconut,470.0,50.0,30.0,400.0,-0.0,950.0,4524.0
soybean,470.0,50.0,30.0,400.0,-80.0,870.0,4143.0
pigeonpea,470.0,50.0,30.0,350.0,-120.0,780.0,3714.0
chickpea,470.0,50.0,30.0,300.0,-100.0,750.0,3571.0
blackgram,470.0,50.0,30.0,280.0,-100.0,730.0,3476.0
mungbean,470.0,50.0,30.0,280.0,-100.0,730.0,3476.0
lentil,470.0,50.0,30.0,280.0,-100.0,730.0,3476.0
